id;text;label
1;В Україну повернули 1000 тіл українських військовослужбовців;neg
2;В Україну повернули 1000 тіл загиблих захисників;neg
3;В Україну повернули 1000 тіл полеглих - координаційний штаб;neg
4;Обстріл АЗС у Полтавській громаді: п’ятеро постраждалих і збір допомоги для лікарів;neg
5;Поліція та СБУ документують наслідки чергового воєнного злочину росіян на Полтавщині - Євген Рогачов;neg
6;Росія атакувала Полтавщину «Шахедами»: військові фіксували дві хвилі дронів;neg
7;На Полтавщині внаслідок обстрілу дронами АЗС постраждали п’ятеро людей — поліція;neg
8;Нічна атака РФ по залізниці на Полтавщині: прокурори та слідчі розслідують воєнний злочин;neg
9;Ввечері 17 вересня росіяни вдарили по АЗС під Полтавою. Зайнялася масштабна пожежа;neg
10;Росіяни атакували залізничну інфраструктуру на Полтавщині. Є постраждалий;neg
11;Пожежі і постраждалий: Росія вдарила по залізничній інфраструктурі Полтавщини;neg
12;Вибухи в Миргородському районі: пошкоджена залізнична інфраструктура, є поранений;neg
13;У Павлограді на Дніпропетровщині пролунали вибухи;neg
14;Росіяни створили нову зброю для протидії українським безпілотникам, - ЗМІ;neg
15;Наступ на Куп'янськ очолює колишній український офіцер - BBC;neg
16;Ворог атакував Павлоград і Нікопольщину безпілотниками та артилерією, виникли пожежі;neg
17;Росіяни обстріляли 27 населених пунктів Херсонщини: є поранений;neg
18;Російські війська за добу вбили п'ять і поранили одну людину у Донецькій області;neg
19;На фронті загинув 30-річний солдат з Хмельниччини;neg
20;Росіяни за добу вбили у Костянтинівці 5 цивільних;neg
21;Нова база для запуску шахедів з'явилася біля кордону України: ворог збудував її протягом літа;neg
22;Російські військові атакували з дрона чоловіка на Запоріжжі;neg
23;Правозахисник і військовий із Маріуполя Олександр Гатіятуллін загинув на фронті;neg
24;Росіяни вивезли 90 школярів із Луганська для присяги «Юнармії»;neg
25;Заправка у Полтавському районі, в яку влучив БпЛА, обрушилась;neg
26;На фронті обірвалося життя захисника з Кролевеччини Анатолія Дерискиби;neg
27;У бою за Україну загинув поліцейський із Уманщини;neg
28;На Херсонщині п’ятеро поліцейських постраждали від атак дронів РФ;neg
29;На Херсонщині окупанти атакували житлові квартали, критичну та соціальну інфраструктуру;neg
30;У лікарні Запоріжжя після поранення помер воїн з Кременеччини;neg
31;На війні загинув захисник з Коломийщини Михайло Романюк;neg
32;Росіяни здійснили 68 атак по Сумщині, під вогнем опинилися 29 населених пунктів;neg
33;"Бучанський кат Омурбеков став генерал-майором і їздив для ""обміну досвідом"" у Китай";neg
34;Росіяни обстріляли фермерське господарство на Чернігівщині;neg
35;На Херсонщині війська рф пошкодили десятки будинків, є поранені;neg
36;Постраждалі, масштабні пожежі, затримки поїздів: окупанти знову атакували низку регіонів України;neg
37;Двоє людей загинули та 11 поранені внаслідок обстрілів Донеччини 17 вересня;neg
38;Ворог минулої доби обстріляв Сумщину 68 разів, є руйнування цивільних об’єктів у двох громадах;neg
39;Війна обірвала життя двох захисників з Хмельниччини;neg
40;У Данії бобер на чотири дні зупинив залізничне сполучення між двома містами;neg
41;Трамп у Британії неодноразово порушив королівський етикет;neg
42;Люди діляться покупками з інтернету - і це зовсім не те, що було на фото продавця;neg
43;Програма “Єднаймося для України” призупинена: що чекає на українців у США;neg
44;Переробники соняшнику на півдні та сході України зіткнуться з жорсткішою конкуренцією за сировину – АПК-Інформ;neg
45;Свинина в Україні за рік зросла в ціні майже на 37%;neg
46;Атака на залізницю: пасажирські потяги затримуються до 3 годин;neg
47;Експорт зернових залізницею у вересні впав майже на п’яту частину;neg
48;Сало в серпні підскочило в ціні на 5,9%;neg
49;За три роки війни з Сумщини виїхали або припинили діяльність майже 600 підприємств;neg
50;Глобальний борг перевищує 235% світового ВВП: приватні кредити скорочуються, а державні зростають – МВФ;neg
51;Збитки від агресії РФ в Україні становлять 589 мільярдів доларів — Гетьманцев;neg
52;На експорт залізницею у вересні відправили на 19% менше зерна;neg
53;Фермери ризикують життям. Ворог цілеспрямовано б’є по аграрній інфраструктурі – ВАР;neg
54;Атака РФ зірвала рух поїздів: рейси до Запоріжжя тимчасово змінено;neg
55;В Одесі тимчасово не працюють світлофори на трьох перехрестях;neg
56;Масове відключення світла в Одесі — адреси;neg
57;ДСНС: за добу на Одещині сталось 18 пожеж;neg
58;Зниклий у морі підліток: пошуки поблизу Одеси продовжуються;neg
